,index,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received,viable_candidate
43,80093,1575539,14,13,1999,5,male,369.0,269,205,0,1,0,0,0,1,1
44,15334,1370511,20,2,1993,8,male,281.0,17,10,29,3,29,3,0,0,0
45,75433,1498623,18,11,1995,4,female,143.0,215,92,8,10,6,2,2,8,1
46,71933,1415839,46,9,1967,3,male,437.0,190,129,151,14,151,1,0,13,1
47,78948,1334496,26,12,1987,2,female,457.0,243,159,330,229,256,76,74,153,0
48,85710,1834971,93,24,1920,5,male,819.0,350,259,93,25,93,19,0,6,1
49,45994,1769412,44,10,1969,3,male,406.0,72,72,64,17,61,12,3,5,0
50,85172,1416638,19,14,1994,7,male,303.0,338,160,1,0,0,0,1,0,0
51,43136,1789703,28,19,1985,12,male,54.0,66,52,49,15,49,13,0,2,0
52,39305,1056013,27,2,1986,2,male,239.0,59,50,0,0,0,0,0,0,1
53,59112,2014672,33,19,1980,9,female,440.0,114,84,480,422,480,411,0,11,1
54,18079,1596627,26,18,1987,4,male,253.0,21,4,5,1,5,1,0,0,0
55,2393,2076034,25,1,1988,1,male,245.0,1,1,0,0,0,0,0,0,0
56,36579,1977857,31,29,1982,8,female,306.0,53,40,0,0,0,0,0,0,1
57,29281,2144371,24,12,1989,6,male,218.0,37,19,65,1,65,0,0,1,1
58,17694,1853053,18,30,1995,1,male,263.0,21,19,0,0,0,0,0,0,1
59,30904,1822139,43,8,1970,1,male,162.0,41,23,27,8,1,2,26,6,0
60,92053,1610409,15,2,1998,8,female,228.0,625,575,0,0,0,0,0,0,0
61,53039,1544926,65,27,1948,4,male,593.0,92,72,186,180,137,79,49,101,1
62,98466,1959285,15,11,1998,6,female,655.0,3742,2009,347,3477,347,2723,0,754,1
63,29770,1834097,34,7,1979,9,male,340.0,39,33,6,2,0,1,6,1,0
64,69265,1869831,19,28,1994,6,male,487.0,173,137,0,0,0,0,0,0,1
65,79600,1237136,19,9,1994,8,male,739.0,251,194,36,19,36,13,0,6,1
66,78753,1791807,19,11,1994,1,male,301.0,247,89,84,85,71,46,13,39,0
67,31930,1168408,47,16,1966,5,male,420.0,42,9,11,0,11,0,0,0,0
68,73622,1187553,66,19,1947,1,male,558.0,200,159,36,4,33,1,3,3,1
69,30216,1854683,28,1,1985,3,male,618.0,41,16,0,0,0,0,0,0,1
70,50461,2114685,60,3,1953,9,female,925.0,86,36,0,0,0,0,0,0,1
71,82385,1462691,22,4,1991,3,female,837.0,291,58,8,0,8,0,0,0,0
72,56831,1684938,38,12,1975,3,female,408.0,105,64,32,25,32,21,0,4,1
73,90717,1735021,21,17,1992,8,female,689.0,491,273,160,364,160,258,0,106,1
74,41456,1146344,55,26,1958,8,male,1502.0,64,17,2,4,0,3,2,1,1
75,47180,1917727,53,18,1960,3,male,38.0,76,69,63,81,63,46,0,35,0
76,88899,1153649,23,12,1990,1,female,792.0,421,363,348,392,72,144,276,248,0
77,5559,1811574,37,31,1976,1,male,346.0,3,2,4,0,0,0,4,0,1
78,3849,1584595,18,29,1995,5,female,571.0,2,1,0,0,0,0,0,0,1
79,72986,1745741,56,23,1957,2,female,460.0,195,149,322,88,3,30,319,58,1
80,70132,1541667,48,12,1965,12,female,1452.0,171,126,1032,633,857,400,175,233,1
81,14715,1765637,48,29,1965,9,male,74.0,16,15,1,0,0,0,1,0,0
82,65514,1328121,28,14,1985,12,male,205.0,147,111,5,14,5,14,0,0,0
83,44617,2138402,36,6,1977,10,male,726.0,70,54,7,26,7,13,0,13,0
84,76858,1595281,15,18,1998,4,male,548.0,224,116,122,132,122,56,0,76,0
85,57243,1746802,28,29,1985,9,male,571.0,110,87,0,1,0,1,0,0,0
86,40820,1861483,33,16,1980,11,male,833.0,60,10,79,21,79,3,0,18,0
87,38547,1421934,19,11,1994,2,female,322.0,56,38,1,5,1,0,0,5,1
88,76629,2147313,44,27,1969,7,male,307.0,222,15,28,59,28,35,0,24,0
89,58380,1693115,26,31,1987,12,female,476.0,115,44,1,2,1,1,0,1,0
90,9009,1283905,17,14,1996,2,male,309.0,8,2,1,0,0,0,1,0,1
91,52494,1456553,26,1,1987,1,male,411.0,92,47,2,0,2,0,0,0,1
92,7576,1112130,28,1,1985,1,male,211.0,6,3,0,0,0,0,0,0,0
93,28310,1048383,14,14,1999,9,male,217.0,37,27,0,5,0,5,0,0,1
94,68520,1262011,61,1,1952,1,male,591.0,163,96,7,7,0,7,7,0,1
95,15321,1699746,56,26,1957,1,female,373.0,16,14,27,2,0,0,27,2,1
96,96013,1545563,17,4,1996,9,male,44.0,921,664,4415,2953,4303,2305,112,648,1
97,97733,1494452,26,29,1987,7,female,1063.0,1656,536,848,4223,250,3209,598,1014,1
98,58896,1419765,43,19,1970,8,female,765.0,115,59,72,15,72,8,0,7,1
99,92343,1583806,20,5,1993,9,male,880.0,618,267,25,514,25,453,0,61,0
100,96601,1711714,13,1,2000,1,female,390.0,1067,171,359,211,278,148,81,63,1
101,53645,1509101,34,16,1979,9,female,124.0,95,75,9,98,6,28,3,70,1
102,10310,1805083,31,6,1982,3,female,267.0,10,3,2,4,2,4,0,0,1
103,12009,1207979,22,22,1991,3,male,436.0,12,11,10,1,10,1,0,0,0
104,3359,1031925,49,27,1964,9,male,58.0,1,1,2,0,2,0,0,0,1
105,36148,1107685,25,21,1988,12,female,500.0,50,36,35,29,35,24,0,5,1
106,49772,1452025,26,8,1987,10,male,586.0,82,23,11,4,11,3,0,1,1
107,58513,1967895,19,12,1994,9,male,622.0,115,29,5,0,5,0,0,0,0
108,45819,1629962,75,26,1938,4,female,950.0,71,34,26,5,0,4,26,1,1
109,41936,1062351,58,20,1955,11,female,2254.0,62,28,24,34,24,6,0,28,1
110,14897,1647400,14,29,1999,7,female,266.0,17,14,2,1,2,0,0,1,0
111,91707,1998890,59,10,1954,4,female,1534.0,569,334,223,149,68,68,155,81,1
112,47166,1917279,107,27,1906,11,female,755.0,76,39,56,22,56,17,0,5,0
113,46750,1543951,18,22,1995,5,male,66.0,76,72,4,5,4,5,0,0,0
114,67836,1701410,36,27,1977,1,male,738.0,160,102,63,114,63,44,0,70,0
115,94881,1642058,18,24,1995,2,female,1462.0,807,540,901,271,319,177,582,94,1
116,26367,2006016,28,28,1985,5,female,254.0,32,13,142,65,142,26,0,39,1
117,34886,1005052,40,9,1973,11,male,246.0,48,35,4,90,4,44,0,46,1
118,16928,1224195,25,1,1988,1,male,438.0,19,14,2,4,2,3,0,1,0
119,50861,2053062,31,17,1982,9,female,277.0,87,60,21,55,21,38,0,17,1
120,85433,2020680,28,12,1985,7,male,527.0,345,310,15,12,15,8,0,4,1
121,33240,1163579,26,3,1987,1,female,356.0,45,25,59,54,59,10,0,44,0
122,75366,1547952,28,24,1985,5,male,1494.0,216,119,4,163,4,155,0,8,0
123,71229,1724060,31,23,1982,8,male,207.0,189,97,0,9,0,6,0,3,0
124,74356,1578921,103,28,1910,10,female,1717.0,211,60,4,139,1,77,3,62,0
125,93067,1159372,14,7,1999,2,male,168.0,655,537,0,0,0,0,0,0,1
126,9279,1053472,50,17,1963,7,male,68.0,8,8,15,8,11,2,4,6,1
127,28537,1284162,49,10,1964,7,male,495.0,37,20,0,0,0,0,0,0,0
128,43619,1143315,32,21,1981,5,male,315.0,67,20,1,20,1,6,0,14,1
129,12243,2096032,20,11,1993,1,female,100.0,13,8,0,0,0,0,0,0,1
130,49670,1750740,49,25,1964,5,male,418.0,83,75,5,0,5,0,0,0,1
131,66369,1856304,98,27,1915,10,male,374.0,151,135,0,0,0,0,0,0,0
132,89802,1849751,20,19,1993,12,female,701.0,460,350,245,131,153,72,92,59,0
133,44470,1192350,28,20,1985,10,male,56.0,70,53,2,0,2,0,0,0,0
134,83956,1494748,38,18,1975,7,female,663.0,307,170,409,528,403,412,6,116,1
135,79636,1362232,45,23,1968,7,female,654.0,260,170,44,20,1,9,43,11,0
136,57648,1976086,65,14,1948,2,male,782.0,110,67,13,8,13,6,0,2,0
137,49180,1086351,23,11,1990,1,male,324.0,79,53,286,180,233,71,53,109,0
138,43907,1966000,41,12,1972,2,male,229.0,67,60,27,9,11,9,16,0,1
139,75689,1263208,41,28,1972,3,male,223.0,220,73,41,4,41,3,0,1,1
140,65646,1070149,27,19,1986,11,male,337.0,147,45,16,1,16,0,0,1,1
141,29600,1474103,46,5,1967,8,male,350.0,39,33,0,0,0,0,0,0,1
142,812,1162568,27,24,1986,3,male,3.0,0,0,0,0,0,0,0,0,1
143,40382,2044507,35,16,1978,2,female,522.0,61,35,2,7,2,7,0,0,0
144,56877,1792329,20,1,1993,6,male,128.0,106,98,47,34,47,28,0,6,0
145,30259,1652137,36,1,1977,4,male,453.0,40,24,0,0,0,0,0,0,0
146,21123,1109775,27,10,1986,9,male,61.0,25,24,148,16,137,10,11,6,0
147,60696,2076124,71,17,1942,3,male,950.0,121,94,15,1,15,1,0,0,1
148,35313,1303356,19,24,1994,8,male,327.0,49,38,108,2,108,2,0,0,0
149,84626,1420348,27,11,1986,1,male,535.0,337,256,52,95,52,72,0,23,1
150,24122,1099770,49,6,1964,11,female,252.0,29,20,22,47,7,15,15,32,0
151,68492,1196519,43,25,1970,1,male,1235.0,163,38,6,0,0,0,6,0,0
152,11510,1060546,62,25,1951,2,female,402.0,11,10,585,342,585,98,0,244,0
153,78966,1962088,51,9,1962,8,female,225.0,250,195,374,120,4,33,370,87,1
154,57625,1841296,47,1,1966,1,male,475.0,110,74,10,42,10,34,0,8,1
155,2091,1303635,18,28,1995,3,male,552.0,1,1,0,0,0,0,0,0,1
156,56132,1702711,21,2,1992,5,female,591.0,104,82,154,303,56,168,98,135,0
157,81655,1899833,30,9,1983,7,male,1289.0,285,226,68,40,63,33,5,7,1
158,43192,1179379,19,24,1994,8,male,136.0,65,56,69,14,69,13,0,1,0
159,38274,1426490,18,29,1995,8,female,733.0,55,39,236,148,235,119,1,29,1
160,70043,1739744,100,3,1913,9,female,390.0,173,123,366,333,358,235,8,98,1
161,81929,1460578,14,31,1999,1,female,331.0,277,200,334,107,45,74,289,33,0
162,14556,1786304,40,5,1973,10,female,620.0,17,9,0,0,0,0,0,0,0
163,77411,1464416,19,21,1994,7,male,157.0,239,214,6,1,6,1,0,0,0
164,94189,1615686,18,27,1995,7,female,374.0,780,368,5,38,5,23,0,15,0
165,91339,1189903,18,20,1995,2,female,223.0,557,301,21,67,21,56,0,11,0
166,7501,1475345,26,16,1987,11,male,402.0,7,5,0,0,0,0,0,0,1
167,16404,1298178,24,6,1989,4,male,936.0,20,2,0,0,0,0,0,0,1
168,38333,1829450,41,26,1972,10,female,444.0,55,18,5615,5600,5615,3457,0,2143,1
169,68640,1838648,18,31,1995,5,male,157.0,168,97,16,3,4,1,12,2,1
170,59893,1145716,35,29,1978,4,female,746.0,116,76,47,163,9,65,38,98,1
171,19405,1933749,44,10,1969,3,female,70.0,23,16,19,2,19,0,0,2,1
172,32339,1073600,86,25,1927,5,female,1517.0,42,29,282,67,0,14,282,53,1
173,91251,1605943,108,10,1905,5,male,1092.0,525,436,7,19,0,0,7,19,0
174,66415,2039035,33,6,1980,11,male,576.0,153,146,1,5,1,5,0,0,0
175,87471,1619561,28,26,1985,2,male,394.0,395,315,26,74,0,26,26,48,1
176,24559,1439723,23,8,1990,8,male,360.0,31,31,0,0,0,0,0,0,0
177,38177,1691201,32,7,1981,4,male,775.0,55,23,81,71,77,44,4,27,1
178,8719,1747667,19,5,1994,11,male,20.0,8,7,0,0,0,0,0,0,1
179,11108,1536088,113,18,1900,11,female,1133.0,11,10,0,0,0,0,0,0,0
180,20860,1847753,15,14,1998,6,female,266.0,25,13,5,2,0,2,5,0,1
181,56567,1606972,73,24,1940,7,male,1104.0,106,63,2,8,2,8,0,0,0
182,91583,1253503,100,28,1913,12,male,1723.0,524,138,116,399,104,265,12,134,1
183,24365,1783785,26,1,1987,1,female,313.0,29,13,95,26,95,22,0,4,1
184,95987,1178301,16,27,1997,5,male,441.0,962,854,2408,395,2408,300,0,95,0
185,59243,2074091,21,13,1992,11,male,614.0,119,101,0,0,0,0,0,0,1
186,9852,2059439,44,17,1969,12,male,945.0,10,6,0,0,0,0,0,0,0
187,20108,1332182,21,3,1992,11,male,614.0,24,20,3,1,3,1,0,0,0
188,12452,1348822,32,11,1981,10,male,353.0,13,13,0,3,0,3,0,0,0
189,68423,1024219,21,2,1992,5,male,518.0,163,111,3,3,2,3,1,0,0
190,9329,1617466,32,24,1981,9,male,256.0,8,6,35,2,0,2,35,0,0
191,64889,1052792,61,22,1952,1,male,22.0,143,89,90,177,90,145,0,32,1
192,82872,1920811,42,26,1971,2,female,483.0,291,248,212,39,212,24,0,15,1
193,26935,2038159,56,22,1957,1,male,440.0,35,28,2,2,0,0,2,2,0
194,97890,1366254,16,14,1997,4,male,596.0,1347,814,2106,1457,1699,1024,407,433,1
195,77746,1938892,35,27,1978,11,male,261.0,235,72,71,39,23,6,48,33,1
196,49579,1074611,18,11,1995,1,female,314.0,84,45,2,17,2,7,0,10,1
197,34833,1908971,17,10,1996,10,male,291.0,48,20,3,0,3,0,0,0,1
198,14326,1650762,20,2,1993,8,male,75.0,17,16,0,1,0,1,0,0,0
199,29724,1548947,31,31,1982,3,male,299.0,39,24,3,55,3,38,0,17,1
200,50083,2117102,56,5,1957,1,male,339.0,83,62,88,36,40,30,48,6,0
201,73681,1759200,17,10,1996,5,male,553.0,201,155,49,3,0,0,49,3,0
202,42040,2053849,47,18,1966,5,male,1707.0,62,38,40,7,40,3,0,4,1
203,87409,1645110,19,10,1994,4,female,449.0,391,253,15,5,0,0,15,5,1
204,10878,2086425,21,6,1992,11,female,376.0,11,6,0,0,0,0,0,0,0
205,72719,2072130,20,6,1993,3,male,402.0,192,37,47,58,47,38,0,20,1
206,69917,1656998,58,12,1955,7,male,397.0,170,118,131,58,0,8,131,50,1
207,36530,2026264,23,14,1990,8,male,486.0,53,37,0,0,0,0,0,0,0
208,88805,2095778,16,23,1997,3,male,217.0,412,391,219,14,219,14,0,0,1
209,29943,1571579,72,22,1941,10,female,1543.0,39,26,49,38,0,9,49,29,0
210,42168,1348400,59,3,1954,6,female,654.0,62,34,71,20,71,19,0,1,0
211,43335,1187100,18,1,1995,6,male,15.0,65,58,379,371,264,206,115,165,0
212,85853,1431861,15,17,1998,8,male,313.0,338,139,206,132,206,126,0,6,1
213,44739,2028152,40,16,1973,8,male,303.0,70,34,20,85,20,7,0,78,0
214,50961,1933025,32,27,1981,9,male,528.0,85,36,41,154,41,137,0,17,0
215,95395,1433137,19,17,1994,2,male,406.0,994,730,86,129,51,90,35,39,1
216,91697,1682477,33,8,1980,1,female,155.0,573,258,215,209,206,162,9,47,1
217,56892,1554746,52,19,1961,12,male,272.0,105,64,50,62,50,45,0,17,1
218,60851,2076521,25,30,1988,10,male,14.0,124,123,52,6,52,6,0,0,0
219,5479,1729812,30,2,1983,4,female,131.0,3,2,2,0,0,0,2,0,1
220,45721,1352280,35,10,1978,10,female,506.0,73,31,15,3,0,0,15,3,0
221,47596,1166636,48,12,1965,3,male,717.0,78,57,0,0,0,0,0,0,1
222,7443,1895895,23,12,1990,12,male,136.0,7,3,0,0,0,0,0,0,1
223,56767,1967090,22,27,1991,12,male,1023.0,105,72,21,0,0,0,21,0,1
224,44024,1172482,23,1,1990,1,male,61.0,67,38,60,5,60,3,0,2,1
225,86408,1542083,27,27,1986,7,female,236.0,360,175,13,40,13,29,0,11,1
226,3979,1706937,24,26,1989,5,female,417.0,2,2,0,0,0,0,0,0,0
227,61419,1830444,13,27,2000,6,male,336.0,127,39,3,3,0,2,3,1,1
228,67918,1512365,48,12,1965,6,female,458.0,158,115,110,133,94,59,16,74,1
229,82236,1067887,17,9,1996,4,male,224.0,294,235,1,3,1,3,0,0,0
230,83380,1577618,21,31,1992,8,female,463.0,314,105,7,5,7,4,0,1,0
231,24751,1694380,15,11,1998,9,male,473.0,31,23,2,0,2,0,0,0,1
232,84950,2046760,48,27,1965,9,female,281.0,326,199,489,1199,63,448,426,751,1
233,93902,1467431,18,25,1995,11,female,99.0,691,292,742,490,742,469,0,21,1
234,27833,1047110,44,1,1969,8,male,485.0,36,19,1,0,0,0,1,0,0
235,84360,1563104,18,4,1995,1,female,337.0,332,126,6,56,6,51,0,5,1
236,7498,1451110,24,19,1989,9,male,427.0,7,0,0,0,0,0,0,0,1
237,67440,1211093,101,29,1912,7,female,722.0,161,69,2,0,2,0,0,0,1
238,2825,1393677,38,20,1975,4,male,122.0,1,1,0,0,0,0,0,0,0
239,69415,1380502,31,15,1982,8,male,208.0,172,112,2,2,2,2,0,0,0
240,59807,1983051,15,26,1998,6,female,236.0,119,81,27,9,27,9,0,0,1
241,46656,1384731,31,2,1982,4,male,293.0,74,26,2,0,2,0,0,0,0
242,17342,1032186,52,31,1961,12,male,321.0,19,15,18,12,18,12,0,0,1
243,98568,1551348,17,27,1996,2,female,447.0,2083,311,599,1372,598,1048,1,324,0
244,75698,1530313,27,13,1986,8,female,542.0,215,100,44,281,22,106,22,175,0
245,71235,1566014,35,26,1978,11,male,604.0,190,72,0,2,0,1,0,1,0
246,51129,1430791,44,15,1969,9,female,104.0,87,46,138,296,137,165,1,131,0
247,34357,1846324,25,31,1988,12,male,179.0,47,30,135,1,135,1,0,0,0
248,75355,1128463,20,5,1993,3,male,287.0,213,150,4,8,0,7,4,1,1
249,48836,1994526,27,6,1986,6,female,151.0,80,50,23,22,23,20,0,2,0
250,82691,1210197,25,9,1988,4,male,418.0,289,226,70,32,70,28,0,4,1
251,39688,1770774,28,28,1985,11,male,151.0,58,36,10,4,10,2,0,2,1
252,18040,1673846,18,22,1995,9,male,10.0,21,16,4,1,0,1,4,0,0
253,68944,1142830,68,29,1945,8,female,129.0,168,128,110,547,110,78,0,469,1
254,81870,1635225,28,18,1985,7,male,522.0,282,152,229,146,150,128,79,18,1
255,78027,1134553,23,12,1990,12,male,191.0,232,207,374,157,374,139,0,18,1
256,1738,1722049,21,1,1992,2,female,27.0,0,0,1,0,1,0,0,0,1
257,44919,1170583,32,13,1981,11,female,197.0,69,56,95,162,93,100,2,62,0
258,75719,1566316,33,5,1980,10,female,530.0,218,135,49,18,0,1,49,17,0
259,71562,2152574,23,26,1990,12,female,785.0,188,32,17,5,17,5,0,0,0
260,60539,1529971,48,20,1965,4,female,226.0,124,90,3,5,3,4,0,1,1
261,72460,1772723,32,1,1981,1,male,481.0,196,189,5,1,0,1,5,0,0
262,91937,1798781,16,13,1997,6,male,192.0,521,383,986,107,705,69,281,38,0
263,63747,1183153,16,29,1997,7,male,24.0,136,130,22,29,22,20,0,9,0
264,1470,1438824,47,31,1966,10,male,110.0,0,0,0,0,0,0,0,0,0
265,91670,2048322,17,24,1996,8,female,278.0,535,51,183,22,183,11,0,11,1
266,61321,1773432,105,30,1908,3,male,1494.0,129,69,1,1,0,0,1,1,1
267,7779,1187560,45,22,1968,11,male,864.0,7,7,0,1,0,0,0,1,1
268,7748,2088611,40,23,1973,7,male,233.0,6,4,0,0,0,0,0,0,0
269,19627,2135470,13,24,2000,5,male,76.0,23,16,89,67,86,23,3,44,1
270,1066,1879816,32,27,1981,7,male,643.0,0,0,0,0,0,0,0,0,0
271,5622,1744542,51,22,1962,1,male,208.0,3,2,9,2,0,2,9,0,0
272,97940,1425934,20,29,1993,8,male,393.0,1456,381,2551,3864,2219,1847,332,2017,1
273,6028,2129172,37,4,1976,1,female,351.0,4,2,0,0,0,0,0,0,0
274,83165,1820536,20,16,1993,3,male,479.0,304,161,0,2,0,1,0,1,0
275,98650,1144745,46,19,1967,1,male,1423.0,4615,702,840,1896,347,772,493,1124,1
276,46890,1270048,15,1,1998,12,male,106.0,75,61,11,40,11,37,0,3,1
277,817,1534182,27,22,1986,5,male,1024.0,0,0,0,0,0,0,0,0,1
278,25850,2192769,34,20,1979,9,male,522.0,32,23,7,2,0,0,7,2,0
279,73554,1713643,27,14,1986,12,male,1399.0,200,98,21,44,16,30,5,14,1
280,62743,1891585,24,10,1989,8,male,317.0,134,42,24,35,24,29,0,6,0
281,41380,2070305,25,1,1988,1,male,265.0,62,40,1,0,1,0,0,0,0
282,31614,1166422,30,3,1983,11,male,203.0,43,32,1,3,1,2,0,1,1
283,67706,1779575,18,2,1995,7,female,482.0,159,115,27,5,0,5,27,0,1
284,5919,1152578,25,3,1988,2,male,426.0,4,3,0,0,0,0,0,0,0
285,70101,1780962,25,4,1988,4,female,166.0,174,23,566,709,566,547,0,162,0
286,2297,1685509,23,9,1990,2,female,29.0,1,0,0,0,0,0,0,0,0
287,46603,1367590,33,12,1980,6,male,219.0,75,65,1,83,1,36,0,47,1
288,68763,1184794,19,16,1994,1,female,330.0,163,141,37,15,37,10,0,5,1
289,97089,1182730,68,29,1945,8,female,1268.0,1320,537,3,8,3,7,0,1,1
290,25332,1126605,31,7,1982,6,male,334.0,32,19,0,0,0,0,0,0,1
291,70182,1521904,18,21,1995,3,male,414.0,180,172,0,0,0,0,0,0,1
292,78429,1367229,23,3,1990,1,female,521.0,241,172,7,7,7,4,0,3,0
293,16083,1172947,53,19,1960,6,female,769.0,18,11,12,1,11,1,1,0,0
294,2309,1279955,23,13,1990,4,male,268.0,1,1,0,0,0,0,0,0,1
295,53391,2062828,24,3,1989,7,male,341.0,95,76,1,1,1,0,0,1,1
296,25939,1342584,22,24,1991,8,male,437.0,33,31,10,0,10,0,0,0,1
297,22830,2033174,15,31,1998,8,female,75.0,28,21,7,1,7,1,0,0,1
298,87614,1137006,15,12,1998,7,female,364.0,407,312,65,3,65,3,0,0,1
299,30937,1131586,64,30,1949,3,male,112.0,40,27,32,22,2,3,30,19,0
300,70457,1454980,31,16,1982,7,male,626.0,179,63,6,0,6,0,0,0,0
301,74180,1699012,26,2,1987,12,male,605.0,205,116,0,0,0,0,0,0,0
302,96486,1215639,22,26,1991,10,female,479.0,1095,78,200,92,200,75,0,17,0
303,49671,1714033,21,2,1992,2,male,628.0,83,19,5,3,5,0,0,3,1
304,79584,1095963,16,8,1997,2,male,75.0,257,238,33,4,19,3,14,1,0
305,45239,1439606,34,18,1979,5,male,554.0,71,52,0,0,0,0,0,0,1
306,70619,2083239,24,4,1989,2,female,503.0,178,91,19,12,19,10,0,2,1
307,6661,1380613,27,12,1986,6,male,182.0,5,3,0,0,0,0,0,0,1
308,32618,1858501,63,1,1950,1,male,203.0,44,26,0,1,0,0,0,1,1
309,62361,1167617,33,10,1980,12,male,599.0,134,55,1,1,0,1,1,0,0
310,89606,1833683,24,18,1989,11,female,1080.0,446,171,72,52,33,25,39,27,0
311,96991,1723999,22,5,1991,12,female,529.0,1014,380,4900,2280,4849,1657,51,623,1
312,31899,1128015,45,30,1968,9,female,143.0,43,36,9,14,9,12,0,2,0
313,93227,1559499,16,8,1997,6,female,217.0,657,55,7,7,7,5,0,2,0
314,15511,1233889,103,31,1910,12,male,230.0,17,15,134,11,134,11,0,0,0
315,84024,1111923,46,10,1967,1,male,172.0,313,53,593,361,542,201,51,160,1
316,76169,1375046,15,26,1998,3,male,102.0,225,85,0,0,0,0,0,0,0
317,21724,1950694,61,15,1952,11,male,1417.0,26,9,2,4,1,3,1,1,1
318,45475,1248709,19,18,1994,10,male,176.0,73,72,3,0,3,0,0,0,0
319,35291,1638221,38,23,1975,2,male,519.0,48,11,86,38,86,22,0,16,0
320,16424,1100467,25,18,1988,6,female,437.0,19,6,0,0,0,0,0,0,0
321,72017,1546280,30,15,1983,3,female,306.0,183,132,284,379,284,234,0,145,0
322,19506,1652054,20,19,1993,9,male,510.0,22,13,33,2,2,0,31,2,1
323,14446,1154900,28,11,1985,8,male,259.0,17,14,0,0,0,0,0,0,1
324,15520,1064820,57,22,1956,3,male,89.0,17,12,157,3,37,1,120,2,0
325,68439,1264221,37,30,1976,4,female,726.0,165,53,3,27,3,7,0,20,1
326,24496,2152603,52,12,1961,6,female,392.0,30,23,1486,554,1486,173,0,381,0
