,index,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
56,19914,1725109,50,1,1963,7,male,369.0,24,17,0,2,0,2,0,0
57,46243,1077551,18,31,1995,10,female,289.0,73,32,620,240,615,190,5,50
58,33320,1684045,47,3,1966,3,female,61.0,44,37,124,77,124,73,0,4
59,91652,2115626,17,10,1996,5,male,411.0,553,396,174,38,4,8,170,30
60,44053,2140977,66,14,1947,6,female,767.0,67,14,75,30,66,17,9,13
61,89770,1713701,103,5,1910,1,male,900.0,471,319,206,385,134,266,72,119
62,96265,1022331,25,1,1988,2,male,684.0,1104,903,31,297,31,270,0,27
63,42680,1383780,102,27,1911,2,male,874.0,65,16,1,1,1,0,0,1
64,29511,1552825,23,8,1990,12,male,458.0,39,12,0,0,0,0,0,0
65,25952,2083828,21,4,1992,5,female,633.0,32,11,11,3,11,2,0,1
66,83660,1317841,17,15,1996,7,male,789.0,304,196,71,3,41,1,30,2
67,88217,2167318,24,2,1989,6,male,507.0,419,360,1,6,1,5,0,1
68,30314,1428103,63,16,1950,2,male,1241.0,40,30,0,0,0,0,0,0
69,72938,1571011,24,5,1989,5,female,291.0,191,137,191,56,74,18,117,38
70,86097,1350183,33,24,1980,9,female,910.0,358,99,2132,2110,1314,1433,818,677
71,66326,2050299,26,26,1987,10,female,743.0,152,120,0,0,0,0,0,0
72,30338,1792167,78,29,1935,9,male,1197.0,40,24,0,2,0,1,0,1
73,62722,2132298,24,20,1989,11,male,59.0,132,99,22,2,4,1,18,1
74,70354,1021579,28,17,1985,2,male,407.0,181,56,2,0,2,0,0,0
75,17548,1522825,56,2,1957,4,male,290.0,20,12,72,58,57,38,15,20
76,14710,1775303,26,16,1987,6,male,95.0,17,7,1,0,0,0,1,0
77,13937,1335645,62,1,1951,1,male,919.0,15,10,3,3,0,1,3,2
78,73588,1355177,103,28,1910,9,male,1207.0,198,132,27,38,27,34,0,4
79,66311,1779526,24,5,1989,8,male,333.0,154,100,0,0,0,0,0,0
80,24648,1586129,49,19,1964,7,male,421.0,31,19,0,0,0,0,0,0
81,96516,1383825,20,27,1993,10,male,480.0,1105,929,230,127,184,91,46,36
82,91592,1551169,98,19,1915,2,male,1586.0,562,281,124,108,123,76,1,32
83,62106,1688750,28,19,1985,4,female,372.0,129,56,303,89,303,81,0,8
84,63232,1882999,13,11,2000,5,male,163.0,135,130,0,0,0,0,0,0
85,25753,1048803,23,11,1990,10,male,330.0,32,11,4,5,0,3,4,2
86,69921,1719083,50,19,1963,5,male,431.0,173,111,135,45,135,32,0,13
87,84275,2186238,16,30,1997,11,male,637.0,333,199,2,0,2,0,0,0
88,5477,1320563,18,5,1995,4,female,133.0,3,3,2,0,0,0,2,0
89,36796,2086049,31,1,1982,5,male,154.0,52,34,2,4,2,2,0,2
90,86367,2085156,26,6,1987,6,female,518.0,381,154,9,26,9,11,0,15
91,83518,1799418,40,2,1973,12,male,484.0,313,116,26,109,26,62,0,47
92,61655,1766880,38,23,1975,5,male,388.0,125,92,18,0,15,0,3,0
93,53166,1308130,16,8,1997,1,male,25.0,97,64,0,0,0,0,0,0
94,48093,1468786,53,25,1960,12,female,250.0,78,34,101,2,0,1,101,1
95,86936,2152224,24,9,1989,8,female,410.0,363,165,432,158,427,131,5,27
96,23440,1929700,55,20,1958,5,male,123.0,30,14,0,0,0,0,0,0
97,38878,1214393,18,1,1995,1,male,189.0,57,53,23,17,23,10,0,7
98,26590,1541995,27,22,1986,8,male,420.0,34,32,0,0,0,0,0,0
99,43683,1748818,27,22,1986,3,male,328.0,68,55,3,0,3,0,0,0
100,79581,1908189,88,15,1925,3,male,1863.0,259,83,32,67,0,21,32,46
101,29652,1054078,48,17,1965,3,female,719.0,39,25,1,3,0,2,1,1
102,49874,1610268,24,23,1989,7,male,415.0,82,53,21,4,21,3,0,1
103,98807,1001431,18,28,1995,6,female,1249.0,2843,828,1679,5765,1359,4106,320,1659
104,36426,2013086,108,22,1905,5,female,107.0,51,27,526,25,468,13,58,12
105,14764,1172185,28,17,1985,10,male,500.0,16,7,1,0,1,0,0,0
106,21338,1120528,29,6,1984,11,female,461.0,26,14,0,1,0,0,0,1
107,87501,1664073,70,14,1943,1,,1849.0,402,210,32,6,32,4,0,2
108,4231,1239609,37,14,1976,7,male,36.0,2,1,0,0,0,0,0,0
109,21605,2010326,59,13,1954,2,female,754.0,26,12,1,5,0,2,1,3
110,62640,1924219,56,6,1957,3,male,775.0,132,94,13,8,0,5,13,3
111,9455,1161931,17,28,1996,10,male,258.0,10,7,0,0,0,0,0,0
112,93899,1411272,24,5,1989,6,female,365.0,652,225,758,736,752,293,6,443
113,76696,1749037,54,7,1959,8,male,1529.0,224,112,45,74,45,51,0,23
114,26293,1469381,21,30,1992,5,male,189.0,32,21,73,3,73,3,0,0
115,43138,1367535,58,1,1955,5,male,21.0,66,14,49,35,49,28,0,7
116,29385,1655784,54,5,1959,7,female,439.0,37,25,167,136,154,116,13,20
117,22323,1549334,26,16,1987,6,female,1322.0,26,17,73,34,3,8,70,26
118,78804,2188934,23,27,1990,4,male,279.0,242,169,113,411,63,294,50,117
119,10644,1558392,55,24,1958,2,female,141.0,9,4,20,10,20,9,0,1
120,21885,1051874,39,11,1974,12,female,347.0,27,15,5,6,1,0,4,6
121,61218,1166556,23,16,1990,2,male,385.0,126,86,0,0,0,0,0,0
122,47740,1423114,18,29,1995,3,male,193.0,77,67,3,0,2,0,1,0
123,49342,1016409,21,27,1992,5,male,140.0,84,69,0,0,0,0,0,0
124,94308,1630995,108,1,1905,2,male,1021.0,759,420,25,21,8,4,17,17
125,68329,1874732,27,7,1986,5,male,893.0,164,73,1,0,0,0,1,0
126,38725,2006780,23,11,1990,11,male,713.0,57,38,7,10,2,3,5,7
127,88883,1053633,108,31,1905,12,male,9.0,435,423,321,114,3,79,318,35
128,24998,1724300,16,1,1997,10,male,401.0,31,18,31,6,0,1,31,5
129,54648,1545648,42,23,1971,4,male,397.0,99,54,4,63,4,42,0,21
130,78537,1038792,24,5,1989,8,male,1318.0,243,108,17,25,17,13,0,12
131,56078,1462650,75,15,1938,7,male,2326.0,101,14,111,5,68,2,43,3
132,70973,2180971,56,18,1957,2,female,1406.0,177,50,214,625,214,255,0,370
133,15274,1271354,27,21,1986,11,male,23.0,16,15,18,8,18,8,0,0
134,10514,2158381,108,1,1905,1,female,202.0,9,4,9,5,7,3,2,2
135,88038,1875649,16,25,1997,12,female,290.0,394,138,1103,730,1002,406,101,324
136,26502,1222442,19,31,1994,8,male,902.0,34,1,0,0,0,0,0,0
137,85309,1353468,20,6,1993,12,male,585.0,342,271,4,189,4,118,0,71
138,5657,2177154,47,20,1966,9,male,194.0,3,2,15,11,0,9,15,2
139,33217,1960143,59,25,1954,7,female,1619.0,44,20,52,13,50,10,2,3
140,59740,2047214,21,25,1992,7,male,462.0,116,73,17,14,4,9,13,5
141,10591,1974761,43,16,1970,6,male,185.0,10,7,14,3,14,0,0,3
142,63369,1820374,64,11,1949,3,male,938.0,139,96,0,0,0,0,0,0
143,7535,1940422,26,23,1987,3,female,558.0,6,5,0,1,0,1,0,0
144,17484,1790446,34,11,1979,3,male,331.0,19,9,45,24,0,6,45,18
145,39901,1289716,38,6,1975,3,male,300.0,58,15,53,31,30,6,23,25
146,6742,1939202,35,17,1978,10,male,300.0,5,4,0,0,0,0,0,0
147,6114,1042283,53,23,1960,2,male,421.0,4,3,0,0,0,0,0,0
148,41198,2054391,28,10,1985,6,female,543.0,63,32,0,0,0,0,0,0
149,27923,1470489,26,9,1987,5,male,159.0,36,33,2,4,2,4,0,0
150,50965,1349803,26,19,1987,7,female,84.0,85,77,43,17,23,8,20,9
151,69593,1382340,25,13,1988,12,male,151.0,175,111,13,36,13,26,0,10
152,55597,1822531,25,1,1988,5,male,40.0,104,101,4,4,4,4,0,0
153,65569,1374054,39,1,1974,1,male,252.0,150,141,10,1,0,1,10,0
154,40508,2000572,27,25,1986,8,female,158.0,60,43,7,0,7,0,0,0
155,64210,1441803,50,8,1963,10,female,150.0,138,87,2104,360,2104,226,0,134
156,79796,1921179,90,6,1923,12,male,1127.0,252,211,124,29,0,16,124,13
157,42587,1797938,38,2,1975,12,male,437.0,66,49,0,1,0,0,0,1
158,49776,1768088,71,31,1942,7,female,1393.0,83,40,12,181,0,127,12,54
159,19838,1198709,26,4,1987,4,male,336.0,24,20,0,1,0,1,0,0
160,35285,1827357,73,30,1940,5,female,1151.0,49,20,84,32,84,19,0,13
161,82248,1635931,25,11,1988,5,male,139.0,290,277,1,11,1,8,0,3
162,50759,1418936,70,1,1943,10,female,1518.0,85,41,11,5,11,5,0,0
163,8217,1985032,23,17,1990,5,female,207.0,7,6,3,0,2,0,1,0
164,40023,1557897,28,16,1985,1,male,267.0,58,46,172,35,159,8,13,27
165,31819,2025028,41,18,1972,3,female,489.0,43,34,6,6,4,1,2,5
166,24454,1428275,68,13,1945,11,female,720.0,29,15,270,52,11,25,259,27
167,44978,2134819,22,5,1991,1,male,522.0,69,7,184,91,116,44,68,47
168,22359,2022446,63,16,1950,11,female,603.0,26,16,104,2,104,2,0,0
169,10541,1844335,20,16,1993,6,female,8.0,9,7,10,1,10,1,0,0
170,50086,1481790,22,10,1991,10,female,595.0,82,42,90,32,90,30,0,2
171,26980,2115682,20,16,1993,11,female,10.0,35,25,2,7,2,5,0,2
172,18854,1615256,36,18,1977,7,male,608.0,23,13,1,0,1,0,0,0
173,12605,1531349,59,3,1954,11,male,422.0,13,5,0,0,0,0,0,0
174,19611,1972756,56,10,1957,9,male,857.0,23,7,79,34,0,0,79,34
175,22591,1165527,42,1,1971,1,male,228.0,28,13,0,0,0,0,0,0
176,19643,1684470,19,1,1994,1,female,113.0,22,13,99,50,87,27,12,23
177,13174,1619041,23,11,1990,10,male,1695.0,14,12,10,0,6,0,4,0
178,72432,1174645,22,2,1991,5,female,671.0,191,81,4,0,0,0,4,0
179,75884,2023459,66,2,1947,12,male,880.0,221,158,122,42,111,37,11,5
180,72696,1997073,34,23,1979,9,female,1188.0,192,149,38,63,38,49,0,14
181,9776,2055639,34,29,1979,4,male,281.0,10,7,0,0,0,0,0,0
182,929,1041387,29,12,1984,6,male,142.0,0,0,0,0,0,0,0,0
183,87934,1415540,24,23,1989,1,female,890.0,390,235,481,552,481,493,0,59
184,76823,1847656,18,4,1995,1,male,294.0,230,125,92,71,92,53,0,18
185,68160,1931753,63,30,1950,5,female,308.0,160,140,948,371,948,182,0,189
186,45445,1369530,43,12,1970,12,male,326.0,73,58,2,3,2,2,0,1
187,4124,1297069,31,1,1982,1,male,546.0,2,0,0,0,0,0,0,0
188,27595,1978693,41,3,1972,11,female,318.0,35,7,145,96,145,83,0,13
189,77743,1267305,85,8,1928,11,female,279.0,235,164,69,12,0,2,69,10
190,11549,2162395,18,12,1995,2,male,40.0,12,9,0,0,0,0,0,0
191,28890,2021089,31,26,1982,6,male,70.0,38,35,5,7,5,7,0,0
192,57615,1538769,108,30,1905,11,male,217.0,111,81,10,18,3,8,7,10
193,30301,1870642,55,28,1958,3,female,882.0,41,24,0,4,0,4,0,0
194,76718,1160275,27,19,1986,1,male,721.0,225,71,53,487,52,352,1,135
195,60815,1713951,54,2,1959,8,male,504.0,124,44,41,7,41,1,0,6
196,26521,1832688,22,31,1991,5,female,352.0,34,22,0,0,0,0,0,0
197,7794,1495882,45,4,1968,4,male,163.0,6,4,0,0,0,0,0,0
198,2194,1838133,22,13,1991,11,female,412.0,1,1,0,1,0,0,0,1
199,56504,1573074,69,29,1944,2,female,386.0,105,67,1,0,1,0,0,0
200,33059,1019176,43,17,1970,6,female,121.0,44,30,19,20,0,4,19,16
201,28867,1032468,63,8,1950,6,male,776.0,37,23,5,0,0,0,5,0
202,7240,1024495,32,30,1981,4,female,473.0,5,4,32,17,10,3,22,14
203,36119,1041321,26,1,1987,1,female,289.0,51,39,29,14,17,5,12,9
204,67122,1009194,59,12,1954,11,female,1243.0,156,104,305,296,25,101,280,195
205,14214,1334019,16,17,1997,6,male,67.0,15,12,106,42,6,14,100,28
206,88828,1694165,25,7,1988,11,female,390.0,436,334,234,185,234,157,0,28
207,52309,1955430,23,27,1990,8,female,137.0,92,31,0,0,0,0,0,0
208,57618,1844433,34,21,1979,1,male,1112.0,110,56,10,5,10,4,0,1
209,86371,1546189,20,15,1993,7,male,432.0,372,302,10,6,0,0,10,6
210,76930,2021494,14,16,1999,11,female,512.0,224,180,218,6,155,2,63,4
211,13291,1441413,32,24,1981,3,male,520.0,13,11,19,2,13,2,6,0
212,47473,1894649,46,20,1967,1,male,405.0,76,41,2066,674,2066,587,0,87
213,84553,1337018,18,7,1995,8,female,114.0,336,100,33,214,29,137,4,77
214,38552,1234739,26,11,1987,1,male,465.0,56,23,1,2,1,1,0,1
215,20238,1483494,34,31,1979,1,female,315.0,24,18,9,4,0,1,9,3
216,65554,1813262,19,14,1994,7,male,1291.0,149,103,8,6,8,5,0,1
217,84539,1233401,20,28,1993,4,male,586.0,327,220,29,70,29,55,0,15
218,97573,2181868,24,19,1989,5,female,1448.0,1444,859,373,354,247,194,126,160
219,73069,1273775,49,29,1964,10,female,1095.0,194,53,729,1226,698,802,31,424
220,69934,1609927,102,1,1911,1,female,1597.0,170,104,155,81,2,19,153,62
221,27518,1836300,58,5,1955,8,male,1519.0,34,11,69,2,0,0,69,2
222,75897,1416357,45,28,1968,10,female,646.0,216,121,131,289,28,61,103,228
223,82417,1460365,13,2,2000,3,female,133.0,296,153,11,5,11,3,0,2
224,95640,2040778,94,12,1919,10,male,1317.0,871,436,315,96,315,77,0,19
225,56880,1693432,19,24,1994,7,female,136.0,107,86,49,9,47,8,2,1
226,67464,1220891,68,17,1945,8,male,1034.0,162,125,2,26,2,22,0,4
227,52033,1107079,49,9,1964,10,female,573.0,90,46,91,201,0,97,91,104
228,89641,2087567,33,16,1980,4,male,615.0,453,246,95,85,94,52,1,33
229,17918,1646481,17,11,1996,4,male,147.0,21,8,1,0,1,0,0,0
230,49352,1233705,22,27,1991,7,male,247.0,83,51,0,18,0,12,0,6
231,97052,1303970,108,1,1905,11,female,1138.0,1727,581,0,26,0,20,0,6
232,20009,1744369,53,13,1960,6,male,332.0,24,20,1,0,1,0,0,0
233,64827,1567225,36,7,1977,9,female,161.0,144,88,55,18,41,3,14,15
234,84453,1584403,28,17,1985,9,male,451.0,324,242,15,24,15,5,0,19
235,22239,1552449,25,3,1988,6,male,31.0,26,18,35,38,34,26,1,12
236,4627,1414891,26,1,1987,1,male,606.0,2,2,2,1,2,1,0,0
237,19704,1708100,25,1,1988,1,female,89.0,22,11,196,71,196,60,0,11
238,17455,1342363,49,13,1964,11,male,594.0,20,18,36,0,36,0,0,0
239,73582,1244646,20,20,1993,4,male,317.0,201,152,26,23,26,22,0,1
240,2989,1058991,48,26,1965,10,male,1030.0,1,1,0,0,0,0,0,0
241,64324,1543599,29,4,1984,1,male,745.0,144,70,0,0,0,0,0,0
242,5038,2184337,25,1,1988,12,male,61.0,3,3,0,0,0,0,0,0
243,25395,1798731,48,15,1965,3,male,233.0,33,7,0,0,0,0,0,0
244,32547,1566117,33,26,1980,2,female,421.0,45,44,0,1,0,1,0,0
245,93123,1082136,103,4,1910,3,male,638.0,663,320,0,5,0,5,0,0
246,57703,1284615,52,9,1961,1,female,1649.0,109,51,19,12,19,9,0,3
247,1675,1829471,74,14,1939,12,male,541.0,0,0,0,0,0,0,0,0
248,29903,1887342,28,20,1985,3,female,109.0,39,27,27,45,27,36,0,9
249,13708,1152246,35,24,1978,4,male,676.0,15,9,0,0,0,0,0,0
250,26375,1582325,59,3,1954,9,female,219.0,33,17,160,12,0,10,160,2
251,85471,1438957,21,16,1992,8,female,433.0,351,196,22,93,7,32,15,61
252,98386,1738053,18,30,1995,11,female,353.0,2022,1144,241,131,147,50,94,81
253,66558,1984646,19,16,1994,2,male,397.0,155,101,7,3,0,1,7,2
254,46968,1005313,20,14,1993,1,male,332.0,75,50,19,0,19,0,0,0
255,41793,1429527,26,9,1987,7,female,280.0,63,43,12,252,12,195,0,57
256,76644,1326398,23,20,1990,7,male,557.0,230,101,32,67,32,60,0,7
257,56091,1072434,100,15,1913,6,female,1758.0,101,62,114,64,95,38,19,26
258,89606,1833683,24,18,1989,11,female,1080.0,446,171,72,52,33,25,39,27
259,35143,1922014,47,1,1966,2,female,253.0,48,35,32,5,0,2,32,3
260,92919,1464691,18,11,1995,2,male,1047.0,605,328,793,361,790,178,3,183
261,51439,1603781,26,26,1987,8,male,291.0,88,72,1,8,0,0,1,8
262,53631,1023085,20,11,1993,11,female,499.0,94,32,8,18,5,17,3,1
263,50939,1021952,31,31,1982,1,male,698.0,87,23,36,53,36,46,0,7
264,68617,1025001,113,12,1900,7,female,1250.0,167,50,13,28,13,9,0,19
265,66101,1400181,37,9,1976,10,female,934.0,145,67,261,384,261,265,0,119
266,9853,1777219,44,12,1969,12,male,329.0,10,5,0,0,0,0,0,0
267,88703,1079920,19,1,1994,7,female,542.0,425,287,123,73,84,26,39,47
268,33592,1115983,33,29,1980,8,female,434.0,47,28,0,1,0,0,0,1
269,47693,1296450,35,8,1978,1,female,263.0,78,53,1,2,1,1,0,1
270,78139,1569359,33,13,1980,1,female,1109.0,233,101,1654,1628,1646,495,8,1133
271,66490,1857758,22,19,1991,11,male,286.0,156,126,3,25,3,9,0,16
272,48186,1077347,26,11,1987,6,female,404.0,78,49,325,122,325,84,0,38
273,85630,1116749,20,21,1993,10,female,473.0,341,166,62,34,7,5,55,29
274,26715,1938103,53,24,1960,8,male,300.0,34,32,0,0,0,0,0,0
275,73405,2153150,18,13,1995,6,female,389.0,198,120,6,83,6,52,0,31
276,5911,1794843,24,30,1989,8,female,228.0,4,2,0,0,0,0,0,0
277,42263,1532004,23,3,1990,8,female,202.0,63,16,122,266,83,190,39,76
278,94375,1007777,24,3,1989,8,male,1748.0,754,399,45,163,25,115,20,48
279,41083,1197265,18,11,1995,5,male,152.0,64,42,0,0,0,0,0,0
280,48069,1068578,35,1,1978,1,male,123.0,78,59,76,23,76,22,0,1
281,97118,2004258,18,12,1995,12,male,721.0,1905,1810,7,2,0,1,7,1
282,74059,1080149,49,8,1964,12,female,1487.0,203,133,1441,371,1441,202,0,169
283,91195,1747308,101,7,1912,6,male,538.0,554,477,2,29,2,27,0,2
284,65333,1944961,98,19,1915,6,male,739.0,145,93,1,2,0,2,1,0
285,19858,1577696,30,13,1983,5,male,364.0,24,8,0,0,0,0,0,0
286,18221,1778356,50,22,1963,7,male,33.0,21,12,23,4,23,2,0,2
287,19888,1229705,40,27,1973,10,female,322.0,24,16,0,0,0,0,0,0
288,32600,1654413,56,11,1957,9,female,508.0,44,36,0,0,0,0,0,0
289,59749,1188607,46,6,1967,4,male,813.0,118,52,19,1,0,0,19,1
290,618,1415074,25,4,1988,1,male,198.0,0,0,0,0,0,0,0,0
291,8440,1598588,23,18,1990,7,male,85.0,7,4,10,7,10,3,0,4
292,51483,1387238,54,24,1959,9,male,284.0,89,76,1,3,1,3,0,0
293,90453,2027774,26,18,1987,8,male,338.0,518,474,38,0,38,0,0,0
294,25323,2046117,30,9,1983,5,male,282.0,33,32,0,4,0,3,0,1
295,24957,2190524,20,28,1993,6,male,100.0,31,22,20,2,20,1,0,1
296,60963,1743336,19,5,1994,12,male,308.0,121,71,124,47,124,45,0,2
297,45762,1474990,44,3,1969,3,male,918.0,73,38,18,13,18,12,0,1
298,45718,2101703,26,7,1987,7,male,643.0,73,55,14,22,14,11,0,11
299,15136,1306288,20,8,1993,12,female,420.0,16,15,8,8,8,6,0,2
300,93337,1269694,16,6,1997,4,female,530.0,647,353,26,46,26,45,0,1
301,23539,2110358,102,11,1911,11,male,1460.0,29,20,1,0,0,0,1,0
302,54580,1866047,100,9,1913,1,male,420.0,98,82,2,5,2,3,0,2
303,2021,1433655,16,1,1997,1,male,10.0,1,1,0,0,0,0,0,0
304,70642,2139556,19,23,1994,5,male,116.0,176,149,22,35,22,26,0,9
305,34056,1747529,21,25,1992,9,male,202.0,46,29,14,19,14,13,0,6
306,49494,1514759,22,9,1991,4,male,480.0,82,75,1,0,1,0,0,0
307,13443,1435777,42,15,1971,7,female,381.0,13,12,54,1,54,0,0,1
308,50341,1152546,22,25,1991,12,male,491.0,87,46,0,0,0,0,0,0
309,87631,1634478,65,25,1948,7,male,606.0,401,305,74,20,19,5,55,15
310,65770,1225402,49,6,1964,6,female,576.0,146,108,36,6,14,2,22,4
311,63620,1603887,28,25,1985,12,male,430.0,136,67,9,7,9,7,0,0
312,64076,1730244,108,13,1905,9,female,1865.0,139,95,251,184,214,112,37,72
313,80869,1717229,19,6,1994,11,male,604.0,268,166,159,97,159,43,0,54
314,49112,1695726,16,10,1997,10,female,35.0,80,52,141,141,115,74,26,67
315,13999,1171785,24,4,1989,4,female,18.0,15,15,4,10,4,8,0,2
316,21310,2127276,27,22,1986,12,male,22.0,27,24,0,0,0,0,0,0
317,37311,1500733,18,18,1995,7,female,47.0,53,33,141,69,141,60,0,9
318,41659,1791433,108,1,1905,1,female,1465.0,62,19,6,1,3,1,3,0
319,59554,1300375,54,24,1959,6,female,200.0,118,109,5,14,0,11,5,3
320,97774,1800069,15,12,1998,3,female,1673.0,1871,835,1029,2375,491,1927,538,448
321,52751,1398461,31,28,1982,12,female,578.0,93,55,21,98,18,88,3,10
322,7206,1784414,17,11,1996,10,female,278.0,5,4,18,0,0,0,18,0
323,64714,1525571,22,8,1991,11,male,672.0,140,43,23,13,23,11,0,2
324,82734,1775153,53,14,1960,1,female,1858.0,299,144,91,122,39,74,52,48
325,76311,2145083,22,15,1991,3,male,155.0,222,203,1,6,1,6,0,0
326,33297,1306320,24,14,1989,8,female,520.0,44,30,101,152,2,21,99,131
327,12597,2162872,58,16,1955,12,female,284.0,13,13,0,1,0,0,0,1
328,20300,1516839,14,4,1999,10,male,10.0,24,20,16,1,0,0,16,1
329,80781,2094738,34,2,1979,10,female,586.0,266,148,98,92,13,7,85,85
330,83519,1453944,91,31,1922,10,female,1080.0,304,135,27,160,3,36,24,124
331,5105,1398730,26,10,1987,10,male,379.0,3,3,0,0,0,0,0,0
332,92097,1114428,30,14,1983,9,female,1125.0,610,493,0,0,0,0,0,0
333,60847,1219537,64,14,1949,8,female,1681.0,121,91,53,44,11,9,42,35
334,11164,1781729,49,22,1964,10,male,312.0,11,4,1,0,1,0,0,0
335,98761,1762561,28,14,1985,8,male,1193.0,2416,745,1425,10257,723,4306,702,5951
336,15188,1859236,26,16,1987,3,male,341.0,16,10,11,2,11,0,0,2
337,33596,1533052,36,11,1977,11,male,445.0,47,36,0,15,0,10,0,5
338,98575,2022668,16,25,1997,2,male,804.0,2072,1498,626,565,269,429,357,136
339,79137,1956225,19,1,1994,1,male,639.0,258,194,0,3,0,2,0,1
340,37041,1398363,51,5,1962,7,female,111.0,53,34,16,62,6,45,10,17
341,46159,2179641,24,23,1989,1,female,90.0,72,42,228,193,102,108,126,85
342,30690,1828745,46,5,1967,5,male,270.0,41,27,7,2,7,1,0,1
